"filename", "language", "C++", "CMake", "Markdown", "Batch", "C", "F#", "Makefile", "comment", "blank", "total"
"/Users/mateuszwrobel/Documents/Sem4/cpp/projekt/build/_deps/raylib-src/examples/models/models_orthographic_projection.c", "C", 0, 0, 0, 0, 49, 0, 0, 33, 23, 105
"/Users/mateuszwrobel/Documents/Sem4/cpp/projekt/build/_deps/raylib-src/examples/models/models_point_rendering.c", "C", 0, 0, 0, 0, 127, 0, 0, 50, 39, 216
"/Users/mateuszwrobel/Documents/Sem4/cpp/projekt/build/_deps/raylib-src/examples/models/models_rlgl_solar_system.c", "C", 0, 0, 0, 0, 96, 0, 0, 44, 32, 172
"/Users/mateuszwrobel/Documents/Sem4/cpp/projekt/build/_deps/raylib-src/examples/models/models_rotating_cube.c", "C", 0, 0, 0, 0, 39, 0, 0, 35, 21, 95
"/Users/mateuszwrobel/Documents/Sem4/cpp/projekt/build/_deps/raylib-src/examples/models/models_skybox_rendering.c", "C", 0, 0, 0, 0, 140, 0, 0, 83, 60, 283
"/Users/mateuszwrobel/Documents/Sem4/cpp/projekt/build/_deps/raylib-src/examples/models/models_tesseract_view.c", "C", 0, 0, 0, 0, 63, 0, 0, 44, 22, 129
"/Users/mateuszwrobel/Documents/Sem4/cpp/projekt/build/_deps/raylib-src/examples/models/models_textured_cube.c", "C", 0, 0, 0, 0, 142, 0, 0, 68, 37, 247
"/Users/mateuszwrobel/Documents/Sem4/cpp/projekt/build/_deps/raylib-src/examples/models/models_waving_cubes.c", "C", 0, 0, 0, 0, 52, 0, 0, 44, 26, 122
"/Users/mateuszwrobel/Documents/Sem4/cpp/projekt/build/_deps/raylib-src/examples/models/models_yaw_pitch_roll.c", "C", 0, 0, 0, 0, 64, 0, 0, 39, 26, 129
"/Users/mateuszwrobel/Documents/Sem4/cpp/projekt/build/_deps/raylib-src/examples/models/raygui.h", "C++", 3948, 0, 0, 0, 0, 0, 0, 1228, 878, 6054
"/Users/mateuszwrobel/Documents/Sem4/cpp/projekt/build/_deps/raylib-src/examples/models/resources/LICENSE.md", "Markdown", 0, 0, 22, 0, 0, 0, 0, 0, 0, 22
"/Users/mateuszwrobel/Documents/Sem4/cpp/projekt/build/_deps/raylib-src/examples/models/resources/shaders/glsl100/cubemap.fs", "F#", 0, 0, 0, 0, 0, 17, 0, 5, 8, 30
"/Users/mateuszwrobel/Documents/Sem4/cpp/projekt/build/_deps/raylib-src/examples/models/resources/shaders/glsl100/skinning.fs", "F#", 0, 0, 0, 0, 0, 11, 0, 4, 6, 21
"/Users/mateuszwrobel/Documents/Sem4/cpp/projekt/build/_deps/raylib-src/examples/models/resources/shaders/glsl100/skybox.fs", "F#", 0, 0, 0, 0, 0, 19, 0, 4, 9, 32
"/Users/mateuszwrobel/Documents/Sem4/cpp/projekt/build/_deps/raylib-src/examples/models/resources/shaders/glsl100/voxel_lighting.fs", "F#", 0, 0, 0, 0, 0, 48, 0, 2, 16, 66
"/Users/mateuszwrobel/Documents/Sem4/cpp/projekt/build/_deps/raylib-src/examples/models/resources/shaders/glsl120/cubemap.fs", "F#", 0, 0, 0, 0, 0, 16, 0, 5, 7, 28
"/Users/mateuszwrobel/Documents/Sem4/cpp/projekt/build/_deps/raylib-src/examples/models/resources/shaders/glsl120/skinning.fs", "F#", 0, 0, 0, 0, 0, 10, 0, 4, 5, 19
"/Users/mateuszwrobel/Documents/Sem4/cpp/projekt/build/_deps/raylib-src/examples/models/resources/shaders/glsl120/skybox.fs", "F#", 0, 0, 0, 0, 0, 18, 0, 4, 8, 30
"/Users/mateuszwrobel/Documents/Sem4/cpp/projekt/build/_deps/raylib-src/examples/models/resources/shaders/glsl120/voxel_lighting.fs", "F#", 0, 0, 0, 0, 0, 47, 0, 2, 14, 63
"/Users/mateuszwrobel/Documents/Sem4/cpp/projekt/build/_deps/raylib-src/examples/models/resources/shaders/glsl330/cubemap.fs", "F#", 0, 0, 0, 0, 0, 17, 0, 6, 8, 31
"/Users/mateuszwrobel/Documents/Sem4/cpp/projekt/build/_deps/raylib-src/examples/models/resources/shaders/glsl330/skinning.fs", "F#", 0, 0, 0, 0, 0, 11, 0, 2, 5, 18
"/Users/mateuszwrobel/Documents/Sem4/cpp/projekt/build/_deps/raylib-src/examples/models/resources/shaders/glsl330/skybox.fs", "F#", 0, 0, 0, 0, 0, 18, 0, 5, 8, 31
"/Users/mateuszwrobel/Documents/Sem4/cpp/projekt/build/_deps/raylib-src/examples/models/resources/shaders/glsl330/voxel_lighting.fs", "F#", 0, 0, 0, 0, 0, 49, 0, 11, 17, 77
"/Users/mateuszwrobel/Documents/Sem4/cpp/projekt/build/_deps/raylib-src/examples/models/rlights.h", "C++", 66, 0, 0, 0, 0, 0, 0, 74, 30, 170
"/Users/mateuszwrobel/Documents/Sem4/cpp/projekt/build/_deps/raylib-src/examples/others/embedded_files_loading.c", "C", 0, 0, 0, 0, 42, 0, 0, 46, 22, 110
"/Users/mateuszwrobel/Documents/Sem4/cpp/projekt/build/_deps/raylib-src/examples/others/external/include/GLFW/glfw3.h", "C++", 597, 0, 0, 0, 0, 0, 0, 5068, 248, 5913
"/Users/mateuszwrobel/Documents/Sem4/cpp/projekt/build/_deps/raylib-src/examples/others/external/include/GLFW/glfw3native.h", "C++", 93, 0, 0, 0, 0, 0, 0, 495, 41, 629
"/Users/mateuszwrobel/Documents/Sem4/cpp/projekt/build/_deps/raylib-src/examples/others/external/include/glad.h", "C++", 5393, 0, 0, 0, 0, 0, 0, 32, 42, 5467
"/Users/mateuszwrobel/Documents/Sem4/cpp/projekt/build/_deps/raylib-src/examples/others/external/include/glad_gles2.h", "C++", 4464, 0, 0, 0, 0, 0, 0, 196, 115, 4775
"/Users/mateuszwrobel/Documents/Sem4/cpp/projekt/build/_deps/raylib-src/examples/others/raylib_opengl_interop.c", "C", 0, 0, 0, 0, 86, 0, 0, 55, 32, 173
"/Users/mateuszwrobel/Documents/Sem4/cpp/projekt/build/_deps/raylib-src/examples/others/resources/audio_data.h", "C++", 4879, 0, 0, 0, 0, 0, 0, 11, 4, 4894
"/Users/mateuszwrobel/Documents/Sem4/cpp/projekt/build/_deps/raylib-src/examples/others/resources/image_data.h", "C++", 9835, 0, 0, 0, 0, 0, 0, 11, 3, 9849
"/Users/mateuszwrobel/Documents/Sem4/cpp/projekt/build/_deps/raylib-src/examples/others/resources/shaders/glsl100/point_particle.fs", "F#", 0, 0, 0, 0, 0, 7, 0, 5, 4, 16
"/Users/mateuszwrobel/Documents/Sem4/cpp/projekt/build/_deps/raylib-src/examples/others/resources/shaders/glsl120/point_particle.fs", "F#", 0, 0, 0, 0, 0, 6, 0, 5, 3, 14
"/Users/mateuszwrobel/Documents/Sem4/cpp/projekt/build/_deps/raylib-src/examples/others/resources/shaders/glsl330/point_particle.fs", "F#", 0, 0, 0, 0, 0, 7, 0, 6, 4, 17
"/Users/mateuszwrobel/Documents/Sem4/cpp/projekt/build/_deps/raylib-src/examples/others/rlgl_standalone.c", "C", 0, 0, 0, 0, 242, 0, 0, 146, 85, 473
"/Users/mateuszwrobel/Documents/Sem4/cpp/projekt/build/_deps/raylib-src/examples/raylib_compile_execute.bat", "Batch", 0, 0, 0, 11, 0, 0, 0, 21, 1, 33
"/Users/mateuszwrobel/Documents/Sem4/cpp/projekt/build/_deps/raylib-src/examples/raylib_makefile_example.bat", "Batch", 0, 0, 0, 11, 0, 0, 0, 16, 1, 28
"/Users/mateuszwrobel/Documents/Sem4/cpp/projekt/build/_deps/raylib-src/examples/shaders/raygui.h", "C++", 3946, 0, 0, 0, 0, 0, 0, 1228, 878, 6052
"/Users/mateuszwrobel/Documents/Sem4/cpp/projekt/build/_deps/raylib-src/examples/shaders/resources/LICENSE.md", "Markdown", 0, 0, 16, 0, 0, 0, 0, 0, 0, 16
